id,case_name,pdf_url,saved_file,original_filename
J00001,Company Matter 38/2026,https://supremecourt.gov.bd/resources/documents/1919016_cm341of26.pdf,J00001.pdf,1919016_cm341of26.pdf
J00002,Civil Revision 2518/2017(Civil Revision 2518/2017),https://supremecourt.gov.bd/resources/documents/1245650_CR_2518_2017.pdf,J00002.pdf,1245650_CR_2518_2017.pdf
J00003,Death Reference 95/2018(Death Reference 95/2018),https://supremecourt.gov.bd/resources/documents/3240698_DR_95_2018.pdf,J00003.pdf,3240698_DR_95_2018.pdf
J00004,Death Reference 75/2018(Death Reference 75/2018),https://supremecourt.gov.bd/resources/documents/3171215_Death_Reference_75_of_2018.pdf,J00004.pdf,3171215_Death_Reference_75_of_2018.pdf
J00005,Civil Revision 4266/2015(Civil Revision 4266/2015),https://supremecourt.gov.bd/resources/documents/967860_C_R_No_4266_15.pdf,J00005.pdf,967860_C_R_No_4266_15.pdf
J00006,Civil Revision 4894/2024(Civil Revision 4894/2024),https://supremecourt.gov.bd/resources/documents/3315287_CivilRevision_4894of2024.pdf,J00006.pdf,3315287_CivilRevision_4894of2024.pdf
J00007,Civil Revision 710/2017(Civil Revision 710/2017),https://supremecourt.gov.bd/resources/documents/1271799_C.R._No._710_of_2017.pdf,J00007.pdf,1271799_C.R._No._710_of_2017.pdf
J00008,Civil Revision 3875/2022(Civil Revision 3875/2022),https://supremecourt.gov.bd/resources/documents/2527855_C.R._No._3875_of_2022.pdf,J00008.pdf,2527855_C.R._No._3875_of_2022.pdf
J00009,Writ Petition 5568/2019(Writ Petition 5568/2019),https://supremecourt.gov.bd/resources/documents/1628190_WP.5568of2019Absoluteinpart30.07.2026.pdf,J00009.pdf,1628190_WP.5568of2019Absoluteinpart30.07.2026.pdf
J00010,Writ Petition 7055/2025(.../),https://supremecourt.gov.bd/resources/documents/3177314_writ_petition_no_7055_2025.pdf,J00010.pdf,3177314_writ_petition_no_7055_2025.pdf
J00011,Civil Revision 3118/2022(Civil Revision 3118/2022),https://supremecourt.gov.bd/resources/documents/2270397_C.R._No._3118_of_2022.pdf,J00011.pdf,2270397_C.R._No._3118_of_2022.pdf
J00012,Writ Petition 1098/2013(.../),https://supremecourt.gov.bd/resources/documents/3231417_W_P_6890of2013.pdf,J00012.pdf,3231417_W_P_6890of2013.pdf
J00013,Civil Revision 2741/2018(Civil Revision 2741/2018),https://supremecourt.gov.bd/resources/documents/1449307_CivilRevision_2741of2018.pdf,J00013.pdf,1449307_CivilRevision_2741of2018.pdf
